IND	HLM		Individuo	Medida	Unidad	Analógico	Digital	Resta	Dif_rel	Dif_rel_porc											
			10	UFM	Cara	69,3	67,4	-1,9	-0,027	-2,74											
			10	WFB	Cara	100,3	97,4	-2,9	-0,029	-2,89											
			10	UFB	Cara	102,4	98,2	-4,2	-0,041	-4,10											
			10	NLH	Cara	59,9	58	-1,9	-0,032	-3,17											
			10	NLB	Cara	26,3	26,5	0,2	0,008	0,76											
			10	OBB	Cara	36,6	34,8	-1,8	-0,049	-4,92											
			10	OBH	Cara	35,7	33,5	-2,2	-0,062	-6,16											
			10	EKB	Cara	91,8	88,8	-3	-0,033	-3,27											
			10	DKB	Cara	22,3	20,1	-2,2	-0,099	-9,87											
			10	FRC	Cara	112,3	106	-6,3	-0,056	-5,61											
			10	PAC	Cara	113,43	106	-7,43	-0,066	-6,55											
			10	OCC	Cara	69,18	62,4	-6,78	-0,098	-9,80											
			10	FOL	Cara	40,72	39,1	-1,62	-0,040	-3,98											
			10	FOB	Cara	27,51	26,5	-1,01	-0,037	-3,67											
			10	MDH	Cara	42,83	45,9	3,07	0,072	7,17											
			11	UFM	Cara	71,66	77,9	6,24	0,087	8,71											
			11	WFB	Cara	104,3	110	5,7	0,055	5,47											
			11	UFB	Cara	109,92	111,9	1,98	0,018	1,80											
			11	NLH	Cara	54,86	57	2,14	0,039	3,90											
			11	NLB	Cara	24,63	25,4	0,77	0,031	3,13											
			11	OBB	Cara	36,93	44,7	7,77	0,210	21,04											
			11	OBH	Cara	37,38	43,4	6,02	0,161	16,10											
			11	EKB	Cara	100,97	100,9	-0,07	-0,001	-0,07											
			11	DKB	Cara	18,13	19,9	1,77	0,098	9,76											
			11	FRC	Cara	110	114	4	0,036	3,64											
			11	FOL	Cara	35,2	39,9	4,7	0,134	13,35											
			11	FOB	Cara	27,9	31,8	3,9	0,140	13,98											
			11	MDH	Cara	39,5	41,8	2,3	0,058	5,82											
